ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem1_num18_;8;5.1;166.05446046708;165.84470811520313;164.5647366719536;66.86323721091604;10.103557487247084;167.05299146501346;173.01576618740535;127.80353023213341;128.91536433215987
palmer_sem1_num19_;9;4.3;165.22914727049218;165.3363866260949;163.83114128653514;70.79605366271218;10.76734604070216;166.53336624822282;172.41855010497937;127.61032756147831;129.00749694238147
palmer_sem1_num1_;10;4.9;165.74261829043067;165.78972838881026;164.3390653633777;66.40133291627373;9.855125088859598;166.86517138627227;172.89018438589534;127.65753994328169;128.9618565437725
palmer_sem1_num20_;11;4.2;163.89414631268397;163.91348468935757;162.63250643115748;76.66159561359561;11.34008233690022;165.24010236938085;170.99114432071082;127.65393295253205;128.93418481702065
palmer_sem1_num21_;12;4.5;165.99107173157438;165.95270788457003;164.8133344262171;76.87110636449046;10.129536611716606;167.27432003989304;173.10706177595054;127.71846737401586;128.83452598875277
palmer_sem1_num22_;13;4.2;166.88455489330758;166.81347784285302;165.45533091715606;76.7759088238026;10.165190799191604;168.16862351959094;174.02320975699058;127.71713612665036;128.9440918805995
palmer_sem1_num23_;14;6.0;165.69985684227822;166.0398729251954;164.4645444070252;74.19946796991098;10.906091286267216;167.26990343328475;173.12472703024085;127.48822188933364;129.01326929972387
palmer_sem1_num24_;15;4.2;166.00119212516432;166.232053208144;164.39490318211125;70.40677735268059;11.202711624264117;167.4407251791481;173.35500391160838;127.52651638454859;129.14897400655866
palmer_sem2_num18_;68;5.9;155.66149573506837;156.4019292045521;153.24649138553102;69.62996463923896;18.45650780446245;157.5557713483946;163.0554115174418;127.01379740592493;129.95229082495644
palmer_sem2_num19_;69;4.3;157.041256381555;158.0978221610637;154.57313915463817;70.29866391335878;18.911180479645342;159.25381390433438;164.72266190161338;126.83804914337564;130.08886392224474
palmer_sem2_num1_;70;6.1;154.76127671509659;155.2408723228848;152.0189124586943;71.46730338028156;19.09069679096293;156.61046721068996;161.91308556014013;127.14195490777357;130.0190207259427
palmer_sem2_num20_;71;4.6;156.0888691019622;156.35576303354168;153.98235294210744;73.57012353381666;17.55877802761167;157.74869888789635;163.10745812287615;127.33532095282492;129.59790066970666
palmer_sem2_num21_;72;6.0;154.71284479535018;154.72300219975855;152.20640478224757;70.20502440178291;18.619208720921925;156.20548859676202;161.44286026306054;127.47007614017132;129.6988903267175
palmer_sem2_num22_;73;4.4;153.67926791350448;154.99722384882358;150.71110816586898;71.34649292606169;21.22656967239833;156.1787727837905;161.5267064174836;126.60050187810785;130.50101574556328
palmer_sem2_num23_;74;6.3;155.3379293151323;156.29753941718604;152.67951336648701;71.83741451170981;20.00065134865648;157.47575442662054;162.88195974922047;126.8408854222483;130.1801261047168
palmer_sem2_num24_;75;4.1;157.42483556986954;158.95759431100632;155.2555006535632;71.50993692531506;19.298612059988717;160.11400230452048;165.56409047270859;126.57611918438499;130.1585454186403
palmer_sem3_num18_;128;5.8;145.28914101746028;146.21519753564257;141.3518422458696;72.13147427559335;27.494886470702237;147.70328356905668;152.60903209366;126.66799570928713;130.97723369136162
palmer_sem3_num19_;129;5.2;144.77035708152974;146.12574308781882;141.5061568432966;71.42193637005424;25.02304985559199;147.28884337600064;152.32039636624432;126.48812585733884;130.7408538804405
palmer_sem3_num1_;130;6.0;143.75648001441874;145.11506365367478;140.2409127831108;74.98447920908707;26.523992453855534;146.382870210379;151.46803005444076;126.3970224165077;130.95318316061528
palmer_sem3_num20_;131;4.7;142.29284360101218;143.7665083804692;139.86636828926441;71.51860910842122;23.39386243083241;144.92082149966447;149.85517375685654;126.5003355956808;130.35698207023214
palmer_sem3_num21_;132;5.2;142.36273288432824;143.92430740595358;139.45461872489864;70.46466365861303;26.02322757478495;145.04872942123203;150.0002021858754;126.33949528865529;130.71356943529057
palmer_sem3_num22_;133;5.1;145.48539448167367;147.56237049264593;142.5900819844619;69.91166797946673;25.38884761271327;148.64538511114654;153.75369843422826;126.07715569362284;130.88310020527015
palmer_sem3_num23_;134;6.0;142.48306012812156;143.60333466703008;140.35539641891341;73.30634747763773;21.95409274351995;144.8199678407573;149.7481607764932;126.73761360297532;130.0481587755773
palmer_sem3_num24_;135;4.5;144.3790916168016;146.44064757398442;140.5997492374461;68.93571982189678;28.24166642665645;147.5365622390612;152.571386308218;125.96742221324698;131.3777605919299
palmer_sem4_num18_;188;5.8;133.80509649415404;134.29796782791425;129.92864446025163;63.88360668264353;32.50163700921817;135.87055464798203;139.93397475226482;126.89434861897007;130.82554380175287
palmer_sem4_num19_;189;6.0;137.53808540724486;137.35239131667595;135.4815663781186;68.94334690005036;20.004128817613672;139.07835409812424;143.39792767364685;127.64760084112976;129.36042510051405
palmer_sem4_num1_;190;6.8;134.79721564705858;135.42392809204605;130.95500034494495;68.36696850463143;32.47496685392609;137.29964340621606;141.08794842280912;126.86812390265095;130.8196845942019
palmer_sem4_num20_;191;6.3;138.36792706636516;140.70260961992204;134.4157705354974;68.3941610761031;33.37438334119227;141.76472847811644;146.39570247194894;125.73590545584528;131.63965521918402
palmer_sem4_num21_;192;6.8;135.18157649203744;135.62628505935288;132.44411850498864;68.31854292699938;26.772621800161467;136.96959723606466;141.3300292857117;127.05923672620706;130.15020216116363
palmer_sem4_num22_;193;6.4;139.14761967914092;140.86929797123267;134.57425653765506;68.96401942653857;33.895924305976116;142.14742479642672;146.73740772444415;126.04581655494472;131.74464813497548
palmer_sem4_num23_;194;6.0;135.62108758229562;136.62816793950225;132.54172329233288;68.5565750408129;30.325828158043265;138.08754216365526;142.26861150852338;126.68042541978345;130.58953991381068
palmer_sem4_num24_;195;5.8;138.0951739303805;137.8854022381455;133.38839120258734;64.34693825664614;33.810149606010015;140.39770703169654;143.9266227927991;127.31070729113085;130.96950112034534
palmer_sem5_num18_;248;5.2;130.6279336225512;129.62852912697008;127.34576608581962;78.92758813621684;28.163321231236786;132.1750646799626;135.3726069306913;128.03458170461283;129.69728189546007
palmer_sem5_num19_;249;5.0;133.836820709689;134.12864890881306;130.33701506214814;67.19959740797897;28.584824243309182;135.76684550776787;139.91033156909077;127.11475996410788;130.46690543776077
palmer_sem5_num1_;250;5.4;129.63466426254575;130.44904744968494;126.4199246658165;67.15391629135766;30.411025366065807;131.75155638253028;135.82519882892876;126.77035272682863;130.5954315227409
palmer_sem5_num20_;251;5.2;131.24301313514522;132.09190029343054;128.80816025247736;67.66030555868127;26.463492101766118;133.6048495777334;137.51493084021882;126.9229024669925;130.08755048028834
palmer_sem5_num21_;252;5.4;131.13132412966715;130.98718512892228;128.24787585376654;66.18952643974873;26.13554744432656;132.50854804758944;136.61574992252696;127.43656644398183;129.9523231984275
palmer_sem5_num22_;253;5.4;131.1482144021312;130.4646799290731;128.12085223274246;72.93165555586813;28.753987434851183;132.72728964723188;136.18550238938542;127.81631111106644;129.76665548107422
palmer_sem5_num23_;254;6.0;131.4493750636306;129.9398528815515;127.76450967810499;71.51153156993921;28.99423403362733;132.879002142454;136.026805485227;128.23176313067992;129.84391116965128
palmer_sem5_num24_;255;5.4;132.44541924873008;134.08978642662964;128.07976382324892;69.93219571839634;35.34522463951582;135.3638295617123;139.66363131885504;126.07562529359389;131.62794037632708
palmer_sem6_num18_;308;5.8;128.3873614471254;127.86375356777977;126.2519484643365;79.91888815657866;24.52106212446773;129.9375206799501;133.67852280856158;127.87198672754671;129.23870849609378
palmer_sem6_num19_;309;5.8;125.66750201385315;125.67722262298349;123.10420420314821;73.87786217764953;25.619087934385;127.37291154830929;131.30272374198924;127.43859243719992;129.7541172078171
palmer_sem6_num1_;310;5.8;125.16037535700129;123.65276625170574;123.51276139903406;79.6832015844693;20.268311663201583;126.06956969628773;129.51913721462228;128.61758826124543;128.45913293016082
palmer_sem6_num20_;311;6.0;118.36437360347544;118.49820944005951;113.15919168801085;73.80919106844956;39.07886805488575;120.72588382925024;124.14561001219921;126.94687725497973;131.43110291839028
palmer_sem6_num21_;312;6.2;121.7925749378876;120.9354158740748;118.00998489945023;70.75944976039166;32.47404331369492;123.43169959495205;126.60129673054732;127.80091233464971;130.14998238436644
palmer_sem6_num22_;313;5.8;127.10142703376845;126.44809346489019;124.25183588280001;68.60677061006804;25.242364744754155;128.33003980708983;132.26561662755057;127.81151288821371;129.62986972357078
