;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0033palmer_sem1_num17lado1;5.2;49.62786867569617;66.44046919645271;30.58828020548379;32.18700587231009;101.6296686115958;66.20958641448968;65.65459251030256;117.78310538263823;142.27828996329026
0035palmer_sem1_num18lado1;5.2;45.56855676488659;48.51307400428487;33.58956395269293;24.72839445588848;60.56251162631458;48.75744487838392;48.880027022366754;124.7785716323631;134.68447523238362
0037palmer_sem1_num19lado1;6.2;46.67611541563453;52.069229132634476;32.31108777409771;24.92819504851121;70.07841563344202;52.48180654202401;52.161210653927746;123.5175637786311;136.4306499453219
0039palmer_sem1_num20lado1;4.5;56.24691224268689;72.60459752609096;32.25386599678565;29.36052719037337;99.22229491475115;72.44497349384494;72.30735103333835;118.04018201466069;143.30357758719794
0041palmer_sem1_num21lado1;5.4;46.73559416939535;56.133839259777204;32.110880666550706;26.569104038802852;74.25293871812589;56.09930307578188;55.94310047424105;122.00867728242443;137.3752372287307
0043palmer_sem1_num22lado1;3.9;50.38481300122943;49.74200287921491;32.216061254912155;19.74010235147021;72.23974851794141;52.360893440153816;51.13173913078751;125.78622253083445;136.13362337715554
0045palmer_sem1_num23lado1;5.0;55.32083453674851;70.72871679525024;30.62126196999496;29.27875033579877;100.33915119607944;70.48977739711674;70.36289495776893;118.46156422088592;143.28193850338926
0047palmer_sem1_num24lado1;4.3;45.284283763434104;45.71543043539923;29.814707076994683;21.59780268245852;70.15172070101609;47.376061858051614;46.197579648056966;125.63694085292136;135.3130223049248
0153palmer_sem2_num17lado1;6.9;46.426100408276504;52.84823949724694;30.50122889237242;27.44938278581475;81.8462484245712;52.7882163938139;52.80374405626181;122.77337713710341;137.51191360942153
0155palmer_sem2_num18lado1;4.2;51.09409827620282;64.02776013977444;29.036113757134572;28.53144215414548;101.05065750314002;64.0985242011664;63.89070202951415;119.47692616298737;141.9863656268109
0157palmer_sem2_num19lado1;6.3;53.15441211076589;64.88472679381643;29.27635741825983;27.82918369874893;98.50979210310314;65.12350094612022;64.76950709134718;120.09452074000568;141.91825771156874
0159palmer_sem2_num20lado1;4.6;48.14807784146655;56.98225348191831;31.301885571778477;26.696757515730468;79.9418177223142;57.4407330937775;57.11131322915393;122.027092409668;138.07685173817686
0161palmer_sem2_num21lado1;6.1;47.56946058098176;53.73847212349107;32.11475321530518;25.85957527242538;76.16262986925977;54.04196045441018;54.0082453816267;123.11846305956894;137.00996103850932
0163palmer_sem2_num22lado1;4.5;39.96990490976676;45.635279523116786;29.609612039819087;27.932063342733088;67.15419365692803;45.57144124555701;44.808896403330834;123.84073864402731;134.77074493363043
0165palmer_sem2_num23lado1;6.1;48.16216119016054;61.81357335779926;29.22241249607797;28.6108297873706;92.11275173126415;61.877233897852754;61.264373673068285;119.87982645641192;140.29077664606478
0167palmer_sem2_num24lado1;4.9;49.216089032519825;47.538882618785145;29.539992879905878;21.138189722660453;79.69102703189597;49.95732697675153;48.70974177668416;126.1832727311262;136.52464979872119
0273palmer_sem3_num17lado1;6.3;40.58255342251399;43.926868497177935;31.80310170005086;27.973452127766475;54.951114628786115;44.123056689219425;43.655001181799854;124.97900290858392;133.5655702239188
0275palmer_sem3_num18lado1;4.5;50.32673858597406;67.73244423487388;31.55972943315433;31.3429964671508;94.02736730934923;67.608018673645;66.99944815472332;118.08268200547438;141.68218808795342
0277palmer_sem3_num19lado1;6.2;41.26494582647401;55.413139507893476;30.61772267430449;34.182512835032604;81.48760020854924;55.35542796106413;54.27586354149566;119.91088643504507;137.87018598083657
