;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0001palmer_sem1_num1lado1;6.2;49.987889092925094;59.47804678705646;30.757383327455074;25.83985633144003;85.26999665887071;59.643626246325475;59.55039527674389;121.47574952667335;139.25905278984294
0003palmer_sem1_num2lado1;4.5;53.50244645103538;67.2590496758059;32.4560305318997;27.258337253390607;87.40227042160923;67.19988965953421;67.09683687716783;119.74009963557636;140.92706426438
0005palmer_sem1_num3lado1;5.3;44.715921629239844;50.658412814413225;30.06159439126011;26.25762302816895;72.84017563651513;50.56408548614233;50.47795482736733;123.23233980313871;136.62711297478265
0007palmer_sem1_num4lado1;4.4;48.56834162552587;52.05525202604347;30.34443885223309;23.271767893867192;77.93952361504981;53.414741568188035;52.72617321201482;124.06421549527323;137.27907681793272
0009palmer_sem1_num5lado1;5.5;53.73915104165533;66.38582573505025;30.393369495164162;28.787606224196853;100.83950396720066;66.23946138901107;66.45835927952045;119.33580117852199;142.4679530632996
0011palmer_sem1_num6lado1;3.9;55.127124132976896;67.68258618248505;31.89480304884228;29.362373781521267;100.17453099571895;67.53562932640014;67.84934145364888;119.14586964002777;142.8393432989267
0013palmer_sem1_num7lado1;5.2;45.46240340768121;58.53716951609847;30.878688184411672;30.77327617409931;85.82943803315601;58.33464235716304;57.77622936020746;120.06481624208294;139.00828215149824
0015palmer_sem1_num8lado1;4.3;48.32730902240842;58.91540237400624;31.267040241421284;28.615894039735107;83.88127970128987;58.704402749006775;58.63021067436095;120.88313483767416;139.18499604357464
0121palmer_sem2_num1lado1;6.2;54.77837424917854;55.48841304011704;34.152304243932875;22.289363666871772;72.66286480982359;57.21679677634256;57.34503022818015;125.06028284665415;137.12816961986434
0123palmer_sem2_num2lado1;4.5;59.41508887643154;81.67318382446182;29.83872043772376;29.841618059448727;112.64667301686322;81.56000301875464;80.89863797398154;115.52802831035879;146.58729384809737
0125palmer_sem2_num3lado1;5.9;52.118865893058945;72.55731027155436;31.08685475733693;31.23366019650396;101.3802506073533;72.39941288309319;71.61843190230006;116.82730373732555;143.25208761330137
0127palmer_sem2_num4lado1;4.6;46.9532271781835;56.87898763804431;31.02058018771457;29.13614908776199;83.86749507394669;56.83931427236786;56.753353910560854;121.31179186985642;138.45154328380136
0129palmer_sem2_num5lado1;6.0;49.73887612330197;62.55394016179146;28.18041121347249;27.66675404532246;97.28578207505491;62.68388245503112;62.10519273112072;119.96971182570871;141.13348906838888
0131palmer_sem2_num6lado1;4.1;46.240769262503605;52.04348315949989;29.72706823015369;26.06084714451584;79.4609471582584;52.02155060919896;51.97944477975874;123.24061022728023;137.08794180267455
0133palmer_sem2_num7lado1;5.3;50.63216113139429;54.910887896611186;34.50118806573704;25.39813462793771;69.2570478835311;55.112511263357476;55.96483643662612;123.84898765213079;136.67468743674246
0135palmer_sem2_num8lado1;4.2;50.636768970165605;67.74835274496661;30.09178923970439;29.310356475336565;96.01315491507977;67.63733604733966;67.09376947343036;118.39935883197442;141.7816453124577
0241palmer_sem3_num1lado1;5.4;51.26795587375564;57.84231693716079;29.399894830506483;26.60403729218481;96.33729445637188;58.78629293228464;58.488823752393856;121.99557187537157;140.60229145933494
